Warehouse,Model #,Description,Ext. Price
Ontario,S-4315,"7 x 7 x 7"" Corrugated Boxes 25/bundle ",61.0
Orlando,S-4480B,"48 x 40 x 36"" Double Wall Gaylord Bottom 5/bundle ",5380.0
Orlando,S-4748,"40 x 8 x 8"" Long Corrugated Boxes 25/bundle ",1789.5
Orlando,S-4854,"13 x 10 x 5"" Corrugated Boxes 25/bundle ",1534.0
Orlando,S-4160,"16 x 12 x 10"" Corrugated Boxes 25/bundle ",994.0
Orlando,S-4913,"28 x 8 x 8"" Long Corrugated Boxes 25/bundle ",946.0
Orlando,S-19816,"24 x 14 x 20"" Corrugated Boxes 15/bundle ",924.0
Orlando,S-4190,"26 x 26 x 26"" Corrugated Boxes 10/bundle ",806.0
Orlando,S-19852,"12 x 9 x 9"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",581.0
Orlando,S-4243,"24 x 12 x 12"" Corrugated Boxes 20/bundle ",546.0
Orlando,S-4060,"6 x 4 x 4"" Corrugated Boxes 25/bundle ",499.5
Orlando,S-4335,"12 x 9 x 9"" Corrugated Boxes 25/bundle ",470.25
Orlando,S-4663,"26 x 16 x 14"" Corrugated Boxes 15/bundle ",348.75
Orlando,S-4125,"12 x 12 x 12"" Corrugated Boxes 25/bundle ",327.0
Orlando,S-18368,"26 x 16 x 16"" Corrugated Boxes 15/bundle ",286.8
Orlando,S-4366,"30 x 30 x 30"" Corrugated Boxes 5/bundle ",223.2
Orlando,S-4661,"25 x 16 x 16"" Corrugated Boxes 10/bundle ",212.5
Orlando,S-4172,"17 x 17 x 17"" Corrugated Boxes 25/bundle ",192.5
Orlando,S-4062,"6 x 6 x 6"" Corrugated Boxes 25/bundle ",90.0
Orlando,S-14268,"11 x 8 x 8"" Corrugated Boxes 25/bundle ",84.0
Phoenix,S-4748,"40 x 8 x 8"" Long Corrugated Boxes 25/bundle ",314.0
Phoenix,S-4084,"8 x 8 x 8"" Corrugated Boxes 25/bundle ",181.5
Phoenix,S-4574,"48 x 8 x 8"" Long Corrugated Boxes 20/bundle ",181.2
Phoenix,S-4913,"28 x 8 x 8"" Long Corrugated Boxes 25/bundle ",102.0
Phoenix,S-4988,"15 x 10 x 6"" Corrugated Boxes 25/bundle ",85.0
Phoenix,S-4105,"10 x 10 x 10"" Corrugated Boxes 25/bundle ",84.0
Phoenix,S-14266,"10 x 10 x 12"" Corrugated Boxes 25/bundle ",76.5
Phoenix,S-4125,"12 x 12 x 12"" Corrugated Boxes 25/bundle ",27.25
