Warehouse,Ext. Price,CumSpend,CumPct
Charlotte,50259.5,50259.5,0.20684064967047353
Orlando,44165.03,94424.53,0.3885997896920805
Atlanta,43533.24,137957.77,0.5677588271648099
Ontario,42446.55,180404.32,0.7424456421603877
Flowood,37128.45,217532.77000000002,0.8952460623646813
Oklahoma City,18941.7,236474.47000000003,0.9731997533855472
Phoenix,6512.1,242986.57000000004,1.0
