Model #,Description,lines,orders,total_spend,avg_line_spend
S-19373,Uline 2in1 Cleaner and Disinfectant - 32 fl oz ,1,1,38.0,38.0
S-24473,"Barricade Tape - 3"" x 1,000', ""Caution/Attention"" 8 rolls/case ",1,1,38.0,38.0
S-7305B,"Uline Plastic Spoons Bulk Pack - Standard Weight, White 1,000/box ",1,1,38.0,38.0
S-6615,Pressboard Clipboard - Letter ,1,1,36.0,36.0
H-2019,Manual Staple Gun ,1,1,35.0,35.0
S-12812,Uline Microfiber General Purpose Towels - Blue 12/pack ,1,1,35.0,35.0
S-15715,"D.O.T. Labels - ""Lithium Ion Batteries UN 3480"", 4 x 4 3/4"" 500/roll ",1,1,34.0,34.0
S-23454,"Nylon Natural Cable Ties - 10"", 18 lb 1,000/pack ",1,1,34.0,34.0
S-19810L,"Uline Black Latex Gloves - Powder-Free, Large 100/carton ",1,1,32.0,32.0
S-23039BL,"Uline Max-Flex Outdoors Drawstring Trash Liners - 33 Gallon, Black   90/carton ",1,1,32.0,32.0
S-25195,Quikrete&reg; Parking Lot Repair Compound - Concrete ,1,1,32.0,32.0
S-20136,"Uline Laser Labels - White, 3 3/4 x 4 3/4"" 400/box ",1,1,31.0,31.0
H-5838,Safety Economy Cutter 12/box ,1,1,30.0,30.0
S-17003,"Fluorescent Shipping Labels - ""Next Day Air"", 2 x 3"" 500/roll ",1,1,30.0,30.0
S-261,"Fluorescent Shipping Labels - ""Fragile/Handle With Care"", 2 x 3""   500/roll ",1,1,30.0,30.0
S-775,"Uline Foam Roll - 1/8"", 12"" x 175', Perforated 1 roll/carton ",1,1,30.0,30.0
H-1292,Uline First Aid Kit - 10 Person ,1,1,29.0,29.0
H-3476,Bulk Foaming Soap Manual Wall-Mount Dispenser - 46 oz ,1,1,29.0,29.0
S-2503P,"UPSable Bubble Roll - 12"" x 188', 5/16"", Perforated ",1,1,29.0,29.0
H-10123,Wire Mesh Desktop Pencil Cup ,1,1,28.0,28.0
S-19475,GOJO&reg; Cherry Gel Gallon - Pumice ,1,1,28.0,28.0
S-16882BL-M,"Uline Gription&reg; Flex Latex Coated Gloves - Black, Medium 12   pairs/carton ",1,1,27.0,27.0
S-16882R-M,"Uline Gription&reg; Flex Latex Coated Gloves - Red, Medium 12   pairs/carton ",1,1,27.0,27.0
S-9963V,"""No Smoking"" Sign - Vinyl, Adhesive-Backed ",1,1,27.0,27.0
S-14179L,"Uline Industrial Nitrile Gloves - Powder-Free, 4 Mil, Large   100/carton ",1,1,26.0,26.0
S-14954,Ice Melt - 40 lb Pail ,1,1,26.0,26.0
S-20665BL,"Pilot&reg; G-2&reg; Gel Pen - Fine Tip, Black ",1,1,25.8,25.8
H-1349,"Stainless Steel Industrial Window Squeegee - 12"" ",1,1,24.0,24.0
S-2568GR,"Blank Inventory Rectangle Labels - Kelly Green, 2 x 3"" 500/roll ",1,1,24.0,24.0
S-2568RY,"Blank Inventory Rectangle Labels - Royal Blue, 2 x 3"" 500/roll ",1,1,24.0,24.0
S-7295,GOJO&reg; Natural Orange Gallon - Pumice ,1,1,24.0,24.0
S-7276,Toilet Seat Covers 250/pack ,1,1,23.4,23.4
S-21132W,"Letter Notepads - 8 1/2 x 11 3/4"", White ",1,1,23.0,23.0
S-4406,"12 x 9 x 6"" Corrugated Boxes 25/bundle ",1,1,23.0,23.0
S-11278,Thermal Printer Cleaning Pen 12/box ,1,1,22.0,22.0
S-21321,Sprayway&reg; Foaming Glass Cleaner - 19 oz Can ,1,1,22.0,22.0
S-15763,"Fabuloso&reg; Cleaner - Lavender Scent, 1 Gallon Bottle ",1,1,21.0,21.0
S-17132,Uline Tuff Scrub&trade; Hand Soap Gallon - Pumice ,1,1,21.0,21.0
S-21131Y,"Memo Notepads - 5 x 8"", Canary ",1,1,19.0,19.0
S-24649,Binder Clips - Medium 144/pack ,1,1,19.0,19.0
S-13287,"3 x 3 x 3"" Corrugated Boxes 25/bundle ",1,1,18.5,18.5
H-64B,Standard Utility Blades 100/pack ,1,1,18.0,18.0
S-15604,Duracell&reg; Procell&reg; AAA Alkaline Batteries 24/box ,1,1,18.0,18.0
S-17852,"T50 Staples - 3/8"" 5,000/carton ",1,1,18.0,18.0
S-6778BL-L,"PVC Dot Knit Gloves - Double-Sided, Black, Large 12 pair/pack ",1,1,18.0,18.0
S-25869,Sharpie&reg; Fine Tip Markers - Assortment Pack 12/pack ,1,1,17.25,17.25
S-8129,Urinal Para Block 12/case ,1,1,17.0,17.0
H-6557,Air Wick&reg; Scented Oil Warmer 6/carton ,1,1,16.0,16.0
S-15605,Duracell&reg; Procell&reg; AA Alkaline Batteries 24/box ,1,1,15.0,15.0
S-19455,Uline All-Purpose Cleaner - 32 oz Spray Bottle ,1,1,15.0,15.0
H-872,"Quick Release Swing Bar Wooden Mop Handle - 60"" ",1,1,14.5,14.5
S-15516BL,"Uline Pallet Markers - Comfort-Grip Chisel-Tip, Black ",1,1,14.4,14.4
S-12418D,"Length Dividers for Stackable Bins - 15 x 5"" 6/carton ",1,1,13.75,13.75
S-17367BLU,"Sharpie&reg; Highlighters - Tank, Fluorescent Blue 12/pack ",1,1,11.0,11.0
S-17367FG,"Sharpie&reg; Highlighters - Tank, Fluorescent Green 12/pack ",1,1,11.0,11.0
S-17367FP,"Sharpie&reg; Highlighters - Tank, Fluorescent Pink 12/pack ",1,1,11.0,11.0
S-17367FY,"Sharpie&reg; Highlighters - Tank, Fluorescent Yellow 12/pack ",1,1,11.0,11.0
S-22749BLU,"Uline Easy Glide Gel Pen - Medium Tip, Blue ",1,1,10.8,10.8
H-595B,Single Edge Razor Blades 100/box ,1,1,9.95,9.95
S-14138,"Desktop Staples - 1/4"" 5,000/carton ",1,1,9.0,9.0
S-2775GR,"Blank Inventory Circle Labels - Kelly Green, 1 1/2"" 500/roll ",1,1,9.0,9.0
S-2775O,"Blank Inventory Circle Labels - Fluorescent Orange, 1 1/2"" 500/roll ",1,1,9.0,9.0
S-2775RED,"Blank Inventory Circle Labels - Red, 1 1/2"" 500/roll ",1,1,9.0,9.0
S-2775RY,"Blank Inventory Circle Labels - Royal Blue, 1 1/2"" 500/roll ",1,1,9.0,9.0
S-2775Y,"Blank Inventory Circle Labels - Fluorescent Yellow, 1 1/2"" 500/roll ",1,1,9.0,9.0
S-12699BL,Comfort-Grip Markers - Black ,1,1,8.4,8.4
H-2759,Expo&reg; Dry Erase Markers - Assortment Pack ,1,1,8.0,8.0
S-15545R,"Plastic Clipboard - Letter, Red ",1,1,7.0,7.0
S-24023BL,Disposable Face Masks - Black 50/carton ,1,1,7.0,7.0
S-7298,"Plastic Coffee Stirrers - 5” 1,000/box ",1,1,4.3,4.3
H-10343RUST,Cordless Tabletop Lamp - Rust ,1,1,0.0,0.0
H-10343W,Cordless Tabletop Lamp - White ,1,1,0.0,0.0
H-10884,Blackstone Tabletop Griddle ,1,1,0.0,0.0
H-11046,Bug-A-Salt ,1,1,0.0,0.0
H-11501,3-in-1 Wireless Charger ,1,1,0.0,0.0
H-12107,Trail Camera ,1,1,0.0,0.0
H-12110,Professional Knife Set ,1,1,0.0,0.0
H-2215,Rubber Mallet ,1,1,0.0,0.0
H-2790BL,Weber&reg; Smokey Joe&reg; Grill ,1,1,0.0,0.0
H-2917PUMP,HYDRAULIC PUMP WITH BYPASS ,1,1,0.0,0.0
H-3957BLU,Vornado&reg; Desktop Fan - Navy ,1,1,0.0,0.0
H-6113,Cordless Drill and Driver Kit ,1,1,0.0,0.0
H-8067SIL,Portable Stove - Silver ,1,1,0.0,0.0
H-8157,Job Site Fan ,1,1,0.0,0.0
H-8193R,YETI&reg; Cooler - Red ,1,1,0.0,0.0
H-8804,9-in-1 Ratcheting Screwdriver ,1,1,0.0,0.0
H-8899,Drill Bit Set ,1,1,0.0,0.0
H-9594,Weber&reg; BBQ Tool Set ,1,1,0.0,0.0
REPAIRED FRT,REPAIR LABOR - FREIGHT ITEM ,1,1,0.0,0.0
S-20087ATL-X,"NFL Soft Shell Coat - Atlanta Falcons, XL ",1,1,0.0,0.0
S-20298MIA,NFL Knit Hat - Miami Dolphins ,1,1,0.0,0.0
S-20298NCP,NFL Knit Hat - Carolina Panthers ,1,1,0.0,0.0
S-20298NEP,NFL Knit Hat - New England Patriots ,1,1,0.0,0.0
S-20987,SwissGear&reg; Laptop Backpack ,1,1,0.0,0.0
S-21001,Zero Gravity Chair ,1,1,0.0,0.0
S-21215DET-X,"NFL Hoodie - Detroit Lions, XL ",1,1,0.0,0.0
S-21215NCP-X,"NFL Hoodie - Carolina Panthers, XL ",1,1,0.0,0.0
S-22526BL,UE Wonderboom Bluetooth&reg; Speaker - Black ,1,1,0.0,0.0
S-22526BLU,UE Wonderboom Bluetooth&reg; Speaker - Blue ,1,1,0.0,0.0
S-22627W,Corkcicle&reg; 60 oz Canteen and Stemless Wine Glass Set - White ,1,1,0.0,0.0
S-23278,Zero Gravity Love Seat ,1,1,0.0,0.0
S-23281BL,S'well&reg; Tumbler - Black ,1,1,0.0,0.0
S-23284BLU,iHome Bluetooth&reg; Speaker - Blue ,1,1,0.0,0.0
S-23722BL,Ladies' Quilted Puff Hat - Black ,1,1,0.0,0.0
S-23787CAMO,Camp Chair and Cooler Combo - Camo ,1,1,0.0,0.0
S-23789ATL,Tervis&reg; NFL Tumbler - Atlanta Falcons ,1,1,0.0,0.0
S-23789CHI,Tervis&reg; NFL Tumbler - Chicago Bears ,1,1,0.0,0.0
S-23789MIA,Tervis&reg; NFL Tumbler - Miami Dolphins ,1,1,0.0,0.0
S-23789NCP,Tervis&reg; NFL Tumbler - Carolina Panthers ,1,1,0.0,0.0
S-23865BLU-X,"Nike Dri-FIT Polo - Blue, XL ",1,1,0.0,0.0
S-24388-L,YETI&reg; Dog Bowl - Large ,1,1,0.0,0.0
S-24505,Stanley&reg; Pitcher ,1,1,0.0,0.0
S-24856,Sony&reg; Wireless Earbuds ,1,1,0.0,0.0
S-25021BL,YETI&reg; Knit Hat - Black ,1,1,0.0,0.0
S-25021GOLD,YETI&reg; Knit Hat - Gold ,1,1,0.0,0.0
S-25061-S,"Ladies' Crewneck - Bonfire, Orange, Small ",1,1,0.0,0.0
S-25061NB-S,"Ladies' Crewneck - Bonfire, Navy, Small ",1,1,0.0,0.0
S-25062-L,"Ladies' Crewneck - Tailgate, Large ",1,1,0.0,0.0
S-25062-S,"Ladies' Crewneck - Tailgate, Small ",1,1,0.0,0.0
S-25077DAL-L,"NFL Henley - Dallas Cowboys, Large ",1,1,0.0,0.0
S-25475ATL,NFL Blanket - Atlanta Falcons ,1,1,0.0,0.0
S-25475DET,NFL Blanket - Detroit Lions ,1,1,0.0,0.0
S-25475MIA,NFL Blanket - Miami Dolphins ,1,1,0.0,0.0
S-25517ALP,Stanley&reg; H2.0 Quencher - Alpine ,1,1,0.0,0.0
S-25533ATL2X,"MLB Windbreaker - Atlanta Braves, 2XL ",1,1,0.0,0.0
S-25533HOU-L,"MLB Windbreaker - Houston Astros, Large ",1,1,0.0,0.0
S-25603BLU,Tripod Umbrella ,1,1,0.0,0.0
S-25605,Ray-Ban&reg; Sunglasses - Aviator ,1,1,0.0,0.0
S-25624,Bogg&reg; Bag Cooler ,1,1,0.0,0.0
S-25625LTBLU,Bogg&reg; Bag Combo - Light Blue ,1,1,0.0,0.0
S-25692DAL-X,"Ladies' NFL Crewneck - Dallas Cowboys, XL ",1,1,0.0,0.0
S-25692DET-S,"Ladies' NFL Crewneck - Detroit Lions, Small ",1,1,0.0,0.0
S-25934,2025 American Muscle Cars Calendar ,1,1,0.0,0.0
S-25938,2025 Demotivationals Calendar ,1,1,0.0,0.0
S-26037R,Heated Seat Cushion - Red ,1,1,0.0,0.0
S-26077SEA,NFL Hi-Vis Hat - Seattle Seahawks ,1,1,0.0,0.0
S-26099,Rolling Duffel Bag ,1,1,0.0,0.0
S-26100LTPUR,Baby Bogg&reg; Bag - Lilac ,1,1,0.0,0.0
S-26104NW,Beach Chair - Navy/White Stripe ,1,1,0.0,0.0
S-26107CW,Turkish Beach Towel - Coral/White ,1,1,0.0,0.0
S-26109,Outdoor Screen House ,1,1,0.0,0.0
S-26115R,Power Bank - Red ,1,1,0.0,0.0
S-26130,Blackstone Seasoning Set ,1,1,0.0,0.0
S-26266,"2026 Ah, the Beach&reg; Calendar ",1,1,0.0,0.0
S-26269,2026 Bad Kitties&reg; Calendar ,1,1,0.0,0.0
