Model #,Description,lines,orders,total_spend,avg_line_spend
S-22358,Uline Premium Blend Coffee - Medium Dark Roast 12/box ,2,2,96.0,48.0
S-17080,Uline Antibacterial Hand Soap - 1 Gallon ,2,2,90.0,45.0
S-19528,"File Folders - Letter, Manila 100/box ",2,2,85.0,42.5
S-6771,Air In A Can ,2,2,79.6,39.8
S-9975,Dawn&reg; Professional Dish Soap - 38 oz Bottle ,2,2,76.0,38.0
S-18498,"Uline Paper Plates - 8 1/2"", Heavyweight 250/case ",2,2,74.0,37.0
H-1369,Uline Comfort-Grip Knife ,2,2,54.3,27.15
S-21088-M,Uline Ultra-Lite Polyurethane Coated Gloves - Medium 12 pair/carton ,2,2,48.0,24.0
S-2568G,"Blank Inventory Rectangle Labels - Fluorescent Green, 2 x 3"" 500/roll ",2,2,44.0,22.0
S-19421BL,Sharpie&reg; Ultra Fine Tip Markers - Black ,2,2,34.8,17.4
S-25450,"Quikrete&reg; Repair Compound - Crack Filler, Concrete ",2,1,34.0,17.0
S-2568P,"Blank Inventory Rectangle Labels - Fluorescent Pink, 2 x 3"" 500/roll ",2,2,34.0,17.0
S-7147,409&reg; Cleaner/Degreaser - 32 oz Spray Bottle ,2,1,28.0,14.0
S-19454,"Uline Multi-Purpose Cleaner - Lavender Scent, 1 Gallon Bottle ",2,2,24.0,12.0
S-19452,Uline Glass Cleaner Refill - 1 Gallon Bottle ,2,2,19.0,9.5
H-10105,Deluxe Steak Knife Set ,2,2,0.0,0.0
H-108,"Uline Metal Strapping Tape Dispenser - 1"" ",2,2,0.0,0.0
H-12108R,3-in-1 Creeper Seat ,2,2,0.0,0.0
H-12115,Emergency Crank Radio ,2,2,0.0,0.0
H-6111BL,Bushnell&reg; Binoculars - Black ,2,2,0.0,0.0
H-6688BL,Kyocera Ceramic Knives - Black 3/set ,2,2,0.0,0.0
S-14864,Uline Pallet Notes - English ,2,2,0.0,0.0
S-20399BL,Camp Chair - Black and Lime ,2,2,0.0,0.0
S-21433R,Utility Wagon - Red ,2,2,0.0,0.0
S-22047,Uline Ceramic Travel Mug ,2,2,0.0,0.0
S-23179,YETI&reg; Rambler&reg; Set ,2,2,0.0,0.0
S-23388,Uline Tool Bag ,2,2,0.0,0.0
S-23787BL,Camp Chair and Cooler Combo - Black/Lime ,2,2,0.0,0.0
S-23921,Big Daddy Rocker ,2,2,0.0,0.0
S-24969,Wrap-It&reg; Storage Straps ,2,2,0.0,0.0
S-25517W,Stanley&reg; H2.0 Quencher - Fog ,2,2,0.0,0.0
S-25604BLU,Glamping Chair ,2,2,0.0,0.0
S-26267,2026 American Muscle Cars Calendar ,2,2,0.0,0.0
H-3256,"Wide Span Storage Rack - Wire Decking, 96 x 36 x 72"" ",1,1,2200.0,2200.0
S-6671,"Uline Stretch Wrap Skid Lot - Cast, 70 gauge, 18"" x 1,500' 96   rolls/skid ",1,1,1675.2,1675.2
S-6669,"Uline Stretch Wrap Skid Lot - Blown, 70 gauge, 18"" x 1,500' 96   rolls/skid ",1,1,1579.2,1579.2
S-8145,"Uline Machine Length Stretch Film - Blown, 70 gauge, 20'' x 6,000' ",1,1,1456.0,1456.0
H-1915T,"Vertical File Cabinet - Letter, 4 Drawer, Tan ",1,1,990.0,990.0
H-2917,Adjustable Width Pallet Truck ,1,1,895.0,895.0
H-8404-STEEL,"L-Shaped Industrial Packing Table - 72 x 78"", Steel Top ",1,1,835.0,835.0
H-5036,"Rubbermaid&reg; Plastic Platform Truck - 30 x 60"" ",1,1,825.0,825.0
S-16464,"48 x 12 x 12"" 275 lb Double Wall Corrugated Boxes 10/bundle ",1,1,790.2,790.2
H-4122,"Uline Pallet Truck - Short/Extra Narrow Fork, 36 x 16"" ",1,1,645.0,645.0
S-1524,"Uline Machine Length Stretch Film - Cast, 80 gauge, 20"" x 6,000' ",1,1,588.0,588.0
S-6668,"Uline Machine Length Stretch Film - Cast, 70 gauge, 20"" x 6,500' ",1,1,570.0,570.0
S-19062,"10 x 8 x 8"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",1,1,567.0,567.0
H-6744GR,"Uline Double Tier Lockers - 3 Wide, Unassembled, 45"" Wide, 18"" Deep,   Gray ",1,1,565.0,565.0
H-4119BL,Foam Padded Mesh Chair - Black ,1,1,543.0,543.0
H-7661,Swivel Shop Stool with Backrest ,1,1,520.0,520.0
S-10666,"48 x 10 x 10"" Long Corrugated Boxes 20/bundle ",1,1,460.0,460.0
H-1484,"Uline Pallet Truck - Short Fork, 36 x 27"" ",1,1,455.0,455.0
H-279,Uline Deluxe Steel Strapping Cart ,1,1,450.0,450.0
H-1193,"Uline Pallet Truck - Narrow Fork, 48 x 21"" ",1,1,445.0,445.0
S-18350,"16 x 16 x 8"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",1,1,426.0,426.0
H-3587,"Plastic Shelving - 36 x 24 x 75"" ",1,1,395.0,395.0
H-3657-LAM,"Industrial Packing Table - 48 x 36"", Laminate Top ",1,1,370.0,370.0
S-2599P,"Foam Roll - Perforated, 1/32"", 6"" x 2,000' 12 rolls/bundle ",1,1,360.0,360.0
S-4218,"24 x 16 x 16"" Corrugated Boxes 10/bundle ",1,1,350.4,350.4
S-4663,"26 x 16 x 14"" Corrugated Boxes 15/bundle ",1,1,348.75,348.75
H-7668,Big and Tall Work Stool ,1,1,335.0,335.0
H-3248,"Wide Span Storage Rack - Wire Decking, 60 x 36 x 72"" ",1,1,306.0,306.0
S-4994,"20 x 14 x 4"" Corrugated Boxes 25/bundle ",1,1,294.0,294.0
H-6863-WOOD,"Industrial Packing Table - 48 x 24"", Composite Wood Top ",1,1,290.0,290.0
S-18368,"26 x 16 x 16"" Corrugated Boxes 15/bundle ",1,1,286.8,286.8
S-8363,"Desktop Direct Thermal Labels - 3 x 2"" 700/roll ",1,1,276.0,276.0
S-4196,"20 x 14 x 10"" Corrugated Boxes 20/bundle ",1,1,247.0,247.0
H-3155,"Chrome Mobile Shelving - 36 x 24 x 69"" ",1,1,245.0,245.0
S-4366,"30 x 30 x 30"" Corrugated Boxes 5/bundle ",1,1,223.2,223.2
S-4525,"12 x 12 x 48"" Tall Corrugated Boxes 15/bundle ",1,1,222.0,222.0
S-4661,"25 x 16 x 16"" Corrugated Boxes 10/bundle ",1,1,212.5,212.5
H-3102,"Anti-Fatigue Mat - 5/8"" thick, 2 x 10', Black ",1,1,204.0,204.0
S-6869,Scott&reg; Toilet Tissue 80 rolls/case ,1,1,204.0,204.0
H-2922T,"Mail Sorter - Steel, 15 Compartment, Tan ",1,1,195.0,195.0
S-4172,"17 x 17 x 17"" Corrugated Boxes 25/bundle ",1,1,192.5,192.5
H-6347,Uline Standard Janitor Cart ,1,1,190.0,190.0
H-8094,Deluxe Heat Gun ,1,1,190.0,190.0
H-9289,180-Piece Shop Tool Set ,1,1,185.0,185.0
H-2055,"Uline Loop Handle Steel Hand Truck - 16"" XL Nose Plate, Solid Wheels ",1,1,170.0,170.0
H-2938-72,"Chrome Wire Shelving Unit - 24 x 18 x 72"" ",1,1,169.0,169.0
