Date,Order #,Invoice,PO #,Category,Model #,Description,Qty,Ext. Price,Ordered By,Month,Quarter,Warehouse,Category_top
2025-03-05,30635829,189967300,JANET352025,Free Offers,S-23179,YETI&reg; Rambler&reg; Set,1,0.0,JANET,2025-03-01,2025Q1,Charlotte,Other
2025-03-04,32392983,189934174,JANET342025,Free Offers,H-10343RUST,Cordless Tabletop Lamp - Rust,1,0.0,JANET,2025-03-01,2025Q1,Charlotte,Other
2025-02-28,30075546,189778171,TRAVIS,Free Offers,H-11503,Eye Massager,1,0.0,TRAVIS,2025-02-01,2025Q1,Atlanta,Other
2025-02-17,28705647,189265287,TRAVIS,Tape,H-150,"Uline Industrial Side Loader Tape Dispenser - 2""",1,0.0,TRAVIS,2025-02-01,2025Q1,Atlanta,Tape
2025-02-17,28705647,189265287,TRAVIS,Free Offers,H-6688R,Kyocera Ceramic Knives - Red 3/set,1,0.0,TRAVIS,2025-02-01,2025Q1,Atlanta,Other
2025-02-14,28580127,189215380,JANET2142025,Free Offers,S-23789NCP,Tervis&reg; NFL Tumbler - Carolina Panthers,1,0.0,JANET,2025-02-01,2025Q1,Charlotte,Other
2025-02-14,28379226,189194817,JOSE,Free Offers,S-24388-L,YETI&reg; Dog Bowl - Large,1,0.0,JOSE,2025-02-01,2025Q1,Orlando,Other
2025-02-13,28229417,189138538,WHS600JOSE',Free Offers,H-10898,Air Fryer,1,0.0,JOSE,2025-02-01,2025Q1,Orlando,Other
2025-02-10,28005417,188942606,GILBERT,Tape,H-150,"Uline Industrial Side Loader Tape Dispenser - 2""",1,0.0,GILBERT,2025-02-01,2025Q1,Oklahoma City,Tape
2025-02-10,28005417,188942606,GILBERT,Tape,H-108,"Uline Metal Strapping Tape Dispenser - 1""",1,0.0,GILBERT,2025-02-01,2025Q1,Oklahoma City,Tape
2025-02-10,28005417,188942606,GILBERT,Facilities Maintenance,H-505,Spray Can Holder/Gun,1,0.0,GILBERT,2025-02-01,2025Q1,Oklahoma City,Other
2025-02-10,28005417,188942606,GILBERT,Free Offers,S-25062-L,"Ladies' Crewneck - Tailgate, Large",1,0.0,GILBERT,2025-02-01,2025Q1,Oklahoma City,Other
2025-02-07,27915567,188906051,TRAVIS,Free Offers,S-23179,YETI&reg; Rambler&reg; Set,1,0.0,TRAVIS,2025-02-01,2025Q1,Atlanta,Other
2025-02-03,31092283,188715587,GILBERT,Free Offers,H-8067SIL,Portable Stove - Silver,1,0.0,GILBERT,2025-02-01,2025Q1,Oklahoma City,Other
2025-01-30,29039249,188569400,JANET1302025,Stretch Wrap,H-175,Stretch Wrap Cutter,1,0.0,JANET,2025-01-01,2025Q1,Charlotte,Stretch Wrap
2025-01-30,29039249,188569400,JANET1302025,Facilities Maintenance,H-505,Spray Can Holder/Gun,1,0.0,JANET,2025-01-01,2025Q1,Charlotte,Other
2025-01-30,29039249,188569400,JANET1302025,Tape,H-596,"Uline Industrial Side Loader Tape Dispenser - 3""",1,0.0,JANET,2025-01-01,2025Q1,Charlotte,Tape
2025-01-30,29039249,188569400,JANET1302025,Free Offers,H-8157,Job Site Fan,1,0.0,JANET,2025-01-01,2025Q1,Charlotte,Other
2025-01-30,29039249,188615884,JANET1302025,Facilities Maintenance,S-25450,"Quikrete&reg; Repair Compound - Crack Filler, Concrete",2,0.0,JANET,2025-01-01,2025Q1,Charlotte,Other
2025-01-30,29039249,188615884,JANET1302025,Cleaners,S-7147,409&reg; Cleaner/Degreaser - 32 oz Spray Bottle,4,0.0,JANET,2025-01-01,2025Q1,Charlotte,Other
2025-01-29,30900250,188540373,DELL,Free Offers,H-11503,Eye Massager,1,0.0,DELL,2025-01-01,2025Q1,Flowood,Other
2025-01-21,26883976,188141463,JANET1212025,Free Offers,S-20298NCP,NFL Knit Hat - Carolina Panthers,1,0.0,JANET,2025-01-01,2025Q1,Charlotte,Other
2025-01-15,27624998,187927856,TRAVIS,Free Offers,H-11501,3-in-1 Wireless Charger,1,0.0,TRAVIS,2025-01-01,2025Q1,Atlanta,Other
2025-01-13,30099861,187879219,JOSE,Tape,H-150,"Uline Industrial Side Loader Tape Dispenser - 2""",1,0.0,JOSE,2025-01-01,2025Q1,Orlando,Tape
2025-01-13,30099861,187879219,JOSE,Free Offers,S-23789CHI,Tervis&reg; NFL Tumbler - Chicago Bears,1,0.0,JOSE,2025-01-01,2025Q1,Orlando,Other
2025-01-11,30023221,187813446,ONT011125ST,Tape,H-596,"Uline Industrial Side Loader Tape Dispenser - 3""",1,0.0,SUSAN,2025-01-01,2025Q1,Ontario,Tape
2025-01-08,29850541,187645859,JANET182025,Facilities Maintenance,H-505,Spray Can Holder/Gun,1,0.0,JANET,2025-01-01,2025Q1,Charlotte,Other
2025-01-08,29850541,187645859,JANET182025,Stretch Wrap,H-175,Stretch Wrap Cutter,1,0.0,JANET,2025-01-01,2025Q1,Charlotte,Stretch Wrap
2025-01-08,29850541,187645859,JANET182025,Free Offers,S-25021GOLD,YETI&reg; Knit Hat - Gold,1,0.0,JANET,2025-01-01,2025Q1,Charlotte,Other
2025-01-08,29840043,187642768,TRAVIS,Free Offers,S-23722BL,Ladies' Quilted Puff Hat - Black,1,0.0,TRAVIS,2025-01-01,2025Q1,Atlanta,Other
2025-01-06,29727952,187525088,JOSE,Free Offers,S-23789MIA,Tervis&reg; NFL Tumbler - Miami Dolphins,1,0.0,JOSE,2025-01-01,2025Q1,Orlando,Other
2025-01-06,26663608,187487835,TRAVIS,Free Offers,S-25934,2025 American Muscle Cars Calendar,1,0.0,TRAVIS,2025-01-01,2025Q1,Atlanta,Other
2025-01-03,29638393,187452649,DELL,Tape,H-150,"Uline Industrial Side Loader Tape Dispenser - 2""",1,0.0,DELL,2025-01-01,2025Q1,Flowood,Tape
2025-01-03,29638393,187452649,DELL,Free Offers,H-6111BL,Bushnell&reg; Binoculars - Black,1,0.0,DELL,2025-01-01,2025Q1,Flowood,Other
