Model #,Description,Ext. Price
H-6982,"Adjustable Height Machine Table - 36 x 24 x 30-37"" ",835.0
H-8404-STEEL,"L-Shaped Industrial Packing Table - 72 x 78"", Steel Top ",835.0
H-3657-STEEL,"Industrial Packing Table - 48 x 36"", Steel Top ",830.0
H-5036,"Rubbermaid&reg; Plastic Platform Truck - 30 x 60"" ",825.0
S-4190,"26 x 26 x 26"" Corrugated Boxes 10/bundle ",806.0
S-4335,"12 x 9 x 9"" Corrugated Boxes 25/bundle ",792.0
S-16464,"48 x 12 x 12"" 275 lb Double Wall Corrugated Boxes 10/bundle ",790.2
S-4185,"18 x 18 x 18"" Corrugated Boxes 20/bundle ",756.0
S-15048,"14 x 12 x 10"" 275 lb Heavy Duty Corrugated Boxes 25/bundle ",738.75
S-4062,"6 x 6 x 6"" Corrugated Boxes 25/bundle ",708.75
S-11684,Oil-Dri&reg; Quick-Sorb&trade; Pail - 20 lb ,687.75
H-4122,"Uline Pallet Truck - Short/Extra Narrow Fork, 36 x 16"" ",645.0
S-7711,Uline Paper Towels 30 rolls/case ,630.0
H-5780,Infrared Heater - Indoor ,620.0
S-18484,Folgers&reg; Classic Roast Filter Packs - Regular 40 packets/box ,616.0
S-6684P,"Economy Bubble Roll - 24"" x 375', 5/16"", Perforated 2 rolls/bundle ",600.0
S-12889,"Oil Only Sorbent Pads - 15 x 19"", Light 100/carton ",600.0
S-1524,"Uline Machine Length Stretch Film - Cast, 80 gauge, 20"" x 6,000' ",588.0
S-19852,"12 x 9 x 9"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",581.0
S-6870,Cottonelle&reg; Toilet Tissue 60 rolls/case ,581.0
H-2504BL,"Uline Utility Cart - Standard, 45 x 25 x 33"", Black ",580.0
S-6668,"Uline Machine Length Stretch Film - Cast, 70 gauge, 20"" x 6,500' ",570.0
S-19062,"10 x 8 x 8"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",567.0
H-6744GR,"Uline Double Tier Lockers - 3 Wide, Unassembled, 45"" Wide, 18"" Deep,   Gray ",565.0
S-22044,"Uline Heavy Duty Spray Adhesive - Low VOC, 12 oz ",549.0
S-4243,"24 x 12 x 12"" Corrugated Boxes 20/bundle ",546.0
H-4119BL,Foam Padded Mesh Chair - Black ,543.0
S-16847L,Uline Heavy Utility Gloves - Large ,529.0
S-4883,"7 x 7 x 10"" Corrugated Boxes 25/bundle ",521.5
